STATUS | wrapper  | main    | 2013/12/19 17:15:19.047 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2013/12/19 17:15:19.055 | Java Service Wrapper Standard Edition 64-bit 3.5.17
STATUS | wrapper  | main    | 2013/12/19 17:15:19.055 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2013/12/19 17:15:19.055 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2013/12/19 17:15:19.055 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2013/12/19 17:15:19.055 | 
STATUS | wrapper  | main    | 2013/12/19 17:15:19.360 | Launching a JVM...
INFO   | jvm 1    | main    | 2013/12/19 17:15:19.763 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2013/12/19 17:15:20.773 | Dec 19, 2013 5:15:20 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2013/12/19 17:15:20.775 | INFO: Initializing Coyote HTTP/1.1 on http-9001
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.201 | Dec 19, 2013 5:15:21 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.203 | INFO: Initializing Coyote HTTP/1.1 on http-9002
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.204 | Dec 19, 2013 5:15:21 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.204 | INFO: Initialization processed in 1037 ms
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.205 | Dec 19, 2013 5:15:21 PM org.apache.catalina.realm.JAASRealm setContainer
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.205 | INFO: Set JAAS app name Catalina
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.306 | Dec 19, 2013 5:15:21 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.307 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.309 | Dec 19, 2013 5:15:21 PM org.apache.catalina.core.StandardService start
INFO   | jvm 1    | main    | 2013/12/19 17:15:21.310 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.238 | [0;32mINFO  [WrapperSimpleAppMain] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.440 | [m[0;32mINFO  [WrapperSimpleAppMain] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.441 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.442 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.443 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@4e86c81d]
INFO   | jvm 1    | main    | 2013/12/19 17:15:38.944 | [m
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.247 | [0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.248 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.249 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.250 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.251 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.252 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.252 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.253 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.254 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.254 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] OS:          Linux 3.2.0-29-generic, amd64
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.255 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.256 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver]              SA - jdbc:hsqldb:file:/home/admin1/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.cache_rows=100000;hsqldb.cache_size=20000;hsqldb.write_delay_millis=1000;hsqldb.inc_backup=true;hsqldb.defrag_limit=2;hsqldb.nio_data_file=false
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.258 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Platform:    5.0.0.0
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.259 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.259 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver]              OpenJDK Runtime Environment, 1.7.0_25-b30
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.260 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver]              /usr/lib/jvm/java-7-openjdk-amd64/jre
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.261 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] VM Locale:   language=en,country=US,region=null
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.261 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.263 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.263 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.264 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.270 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.270 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.272 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] --- Extensions (in dependency order, options: 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.272 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  p .. platform extension 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.273 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  * .. auto-required 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.273 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  ? .. lazy-loaded 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.274 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  i .. got <extname>-items.xml 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.275 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  b .. got <extname>-beans.xml 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.275 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  c .. got core module 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.276 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  w .. got web module 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.276 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---  h .. got HMC module ) 
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.278 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.279 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] core 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.280 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] deliveryzone 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.280 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] mediaweb 5.0.0.0 [p*cw]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.281 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] paymentstandard 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.282 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] commons 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.282 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] testweb 5.0.0.0 [p*w]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.283 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] processing->commons 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.283 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] impex->processing 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.284 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] validation->impex 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.284 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] europe1->impex 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.285 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] catalog->(validation,commons,europe1) 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.285 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] platformservices->(paymentstandard,deliveryzone,catalog,processing,impex) 5.0.0.0 [p*c]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.287 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] hac->(platformservices,catalog,processing,impex) 5.0.0.0 [p*w]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.288 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] advancedsavedquery->(catalog,processing,impex) 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.289 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] workflow->(platformservices,catalog,commons,processing) 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.290 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] comments->(catalog,processing,impex,workflow) 5.0.0.0 [p*ci]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.291 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] maintenanceweb 5.0.0.0 [p*w]
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.292 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] yempty 5.0.0.0 [cibw] path:/home/admin1/hybris/bin/ext-template/yempty
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.293 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] instoresampledata 5.0.0.0 path:/home/admin1/hybris/bin/ext-data/instoresampledata
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.294 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] virtualjdbc->catalog 5.0.0.0 [cw] path:/home/admin1/hybris/bin/ext-platform-optional/virtualjdbc
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.296 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] lucenesearch->processing 5.0.0.0 [ci] path:/home/admin1/hybris/bin/ext-platform-optional/lucenesearch
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.297 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] solrfacetsearch->lucenesearch 5.0.0.0 [cibw] path:/home/admin1/hybris/bin/ext-commerce/solrfacetsearch
INFO   | jvm 1    | main    | 2013/12/19 17:15:39.298 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] platformwebservices->(lucenesearch,platformservices) 5.0.0.0 [w] path:/home/admin1/hybris/bin/ext-platform-optional/platformwebservices
