INFO   | jvm 1    | main    | 2014/01/06 10:23:17.537 | [0;33mWARN  [hybrisHTTP38] [192.168.1.13] [ContextInformationLoader] Cannot find CMSSite associated with current URL (http://192.168.1.111:9001/store/electronics/en/Open-Catalogue/Cameras/Digital-Cameras/Digital-Compacts/Cyber-shot-W80%2C-Silver/p/816262)!
INFO   | jvm 1    | main    | 2014/01/06 10:23:18.047 | [m
INFO   | jvm 1    | main    | 2014/01/06 12:22:57.914 | [0;33mWARN  [hybrisHTTP4] [192.168.1.30] [DefaultFindDeliveryCostStrategy] Could not find deliveryCost for order [00002000] due to : null... skipping!
INFO   | jvm 1    | main    | 2014/01/06 12:22:57.917 | [m[0;33mWARN  [hybrisHTTP4] [192.168.1.30] [DefaultFindPaymentCostStrategy] Could not find paymentCost for order [00002000] due to : null... skipping!
INFO   | jvm 1    | main    | 2014/01/06 12:22:58.420 | [m
STATUS | wrapper  | main    | 2014/01/06 12:23:44.915 | INT trapped.  Shutting down.
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.744 | shutting down hybris registry..
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.746 | [0;32mINFO  [Thread-1] [TimerTaskUtils] Stopping CronJob timer ...
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.746 | [m[0;32mINFO  [Thread-1] [TimerTaskUtils] CronJob timer stopped
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.747 | [m[0;32mINFO  [Thread-1] [DefaultTaskService] Shutting down task engine for tenant master.
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.748 | [m[0;32mINFO  [Thread-1] [DefaultTaskService] Terminating task polling thread.
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.748 | [m[0;32mINFO  [Thread-1] [DefaultTaskService] Stopped task engine for tenant master.
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.749 | [m[0;32mINFO  [Thread-1] [TimerTaskUtils] Stopping CronJob timer ...
INFO   | jvm 1    | main    | 2014/01/06 12:23:45.750 | [m[0;32mINFO  [Thread-1] [DefaultTaskService] Shutting down task engine for tenant master.
